aX,aY,aZ,gX,gY,gZ
-0.624,-0.305,1.273,-168.03,-11.047,-207.642
-0.597,-0.283,1.193,-158.264,-9.521,-185.669
-0.562,-0.382,1.108,-144.165,-6.47,-163.757
-0.553,-0.507,1.028,-133.85,-3.174,-145.264
-0.558,-0.574,0.946,-130.066,0.061,-131.104
-0.542,-0.543,0.856,-129.456,3.784,-122.437
-0.513,-0.484,0.768,-126.831,7.935,-118.53
-0.479,-0.453,0.673,-118.713,11.78,-118.042
-0.429,-0.461,0.588,-105.713,14.16,-119.507
-0.413,-0.502,0.527,-90.088,14.404,-121.094
-0.463,-0.548,0.523,-73.242,14.099,-121.338
-0.545,-0.591,0.523,-55.969,15.808,-119.263
-0.611,-0.682,0.51,-39.124,21.24,-114.258
-0.664,-0.833,0.467,-25.696,28.992,-106.079
-0.686,-0.953,0.41,-18.494,37.598,-96.313
-0.68,-1.023,0.342,-17.273,45.288,-85.266
-0.677,-1.042,0.275,-19.836,51.086,-73.303
-0.695,-1.027,0.217,-23.254,54.749,-60.974
-0.74,-1.02,0.163,-24.475,57.007,-48.706
-0.73,-1.026,0.125,-22.949,58.411,-36.682
-0.707,-1.049,0.05,-20.569,58.96,-26.672
-0.692,-1.023,0.005,-18.799,56.824,-17.029
-0.675,-0.978,-0.034,-15.93,53.833,-8.362
-0.657,-0.934,-0.064,-10.071,50.049,-1.831
-0.635,-0.886,-0.097,-1.587,45.776,4.333
-0.615,-0.841,-0.124,9.033,40.222,9.949
-0.609,-0.818,-0.133,21.057,33.02,14.526
-0.615,-0.801,-0.125,33.325,25.452,18.738
-0.624,-0.781,-0.105,44.617,17.456,22.156
-0.627,-0.763,-0.079,54.81,9.521,25.452
-0.633,-0.754,-0.042,63.293,1.77,29.297
-0.655,-0.751,0.017,70.374,-5.676,33.325
-0.698,-0.757,0.103,75.562,-12.268,38.391
-0.746,-0.758,0.208,79.041,-17.273,44.495
-0.791,-0.733,0.316,81.604,-19.775,50.842
-0.785,-0.679,0.398,84.595,-19.775,57.739
-0.741,-0.61,0.444,88.806,-19.043,65.552
-0.686,-0.52,0.483,95.337,-19.409,72.693
-0.661,-0.429,0.528,103.638,-21.362,79.102
